Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/Jaguar/Jaguar Manuals/Fight for Life.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FFight%20for%20Life.pdf,2122337,5c0d74fbd2ac987363b1249036d58206,,,Fight for Life.pdf
docs/Jaguar/Jaguar Manuals/Flashback - The Quest for Identity.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FFlashback%20-%20The%20Quest%20for%20Identity.pdf,1504504,8529995c7bbbe8572851a639f62a9c9d,,,Flashback - The Quest for Identity.pdf
docs/Jaguar/Jaguar Manuals/Flip Out!.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FFlip%20Out%21.pdf,2198553,a264d2b9050e471899a108ecf638d017,,,Flip Out!.pdf
docs/Jaguar/Jaguar Manuals/Hover Strike.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FHover%20Strike.pdf,3409388,8796cb316889c7cb152d97bac26a6a9b,,,Hover Strike.pdf
docs/Jaguar/Jaguar Manuals/Hyper Force.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FHyper%20Force.pdf,583594,e671fdc7854a02dc236b243b0c585adf,,,Hyper Force.pdf
docs/Jaguar/Jaguar Manuals/I-War.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FI-War.pdf,1367906,353474fb45f13f16246f0661bb7a7b0a,,,I-War.pdf
docs/Jaguar/Jaguar Manuals/International Sensible Soccer.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FInternational%20Sensible%20Soccer.pdf,1849868,091a90b1e5dab56a15fb9ef9d24fee52,,,International Sensible Soccer.pdf
docs/Jaguar/Jaguar Manuals/Iron Soldier .pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FIron%20Soldier%20.pdf,3101917,eb26bcd495f3782f7e3b245cf6ccc8f2,,,Iron Soldier .pdf
docs/Jaguar/Jaguar Manuals/Iron Soldier 2.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FIron%20Soldier%202.pdf,994889,74483c3d7fc8e50395c0580ab77b0708,,,Iron Soldier 2.pdf
docs/Jaguar/Jaguar Manuals/Kasumi Ninja.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FKasumi%20Ninja.pdf,1946107,fa71f3cc0906ba4aa9f25bcc1722f6da,,,Kasumi Ninja.pdf
docs/Jaguar/Jaguar Manuals/Missile Command 3D.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FMissile%20Command%203D.pdf,2551762,b3c567cde0c8abfcf2c42fcc3e269743,,,Missile Command 3D.pdf
docs/Jaguar/Jaguar Manuals/NBA Jam - Tournament Edition.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FNBA%20Jam%20-%20Tournament%20Edition.pdf,1986809,9b154d44887d3b578baa9f6a3de7273b,,,NBA Jam - Tournament Edition.pdf
docs/Jaguar/Jaguar Manuals/Phase Zero.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FPhase%20Zero.pdf,734609,80dcb2b5f89eca8293872f7783257707,,,Phase Zero.pdf
docs/Jaguar/Jaguar Manuals/Pinball Fantasies.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FPinball%20Fantasies.pdf,1388478,9f6f9def93d8e6a414577c1fa05abfe8,,,Pinball Fantasies.pdf
docs/Jaguar/Jaguar Manuals/Pitfall - The Mayan Adventure.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FPitfall%20-%20The%20Mayan%20Adventure.pdf,2202054,10b5baac82c7a7ac88fc0d35d9927a2f,,,Pitfall - The Mayan Adventure.pdf
